Type,SKU,Nom,Description,Catégories,Attribut 1 name,Attribut 1 value(s),Attribut 1 visible,Attribut 1 global,Attribut 2 name,Attribut 2 value(s),Attribut 2 visible,Attribut 2 global,Parent,Prix régulier
variation,R-620713-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-620713,1679
variation,R-620713-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-620713,2011
variation,R-620713-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-620713,2399
variation,R-620713-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-620713,2729
variation,R-620713-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-620713,3044
variation,R-620713-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-620713,3579
variation,R-620713-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-620713,4029
variation,R-620713-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-620713,2094
variation,R-620713-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-620713,2426
variation,R-620713-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-620713,2814
variation,R-620713-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-620713,3144
variation,R-620713-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-620713,3459
